ID,Length,Masker,Onset,SNR,Speaker,Target,Raw,Responses,N-Listeners,Counts,Confusion,Consistency,Target-Arpabet,Target-IPA,Target-frequency,Confusion-Arpabet,Confusion-IPA,Confusion-frequency,Phoneme-distance
29225,16676,BAB4,727072,-1.267,s3,throne,die|rocket|throw|l|throw|throw|throw|drunk|croquet|throw|throw|throw|suggest|throw|throw,throw|rocket|drunk|die|l|suggest|croquet,15,9 1 1 1 1 1 1,throw,9,! TH R OW N,! θ ɹ oʊ n,4.0,! TH R OW,! θ ɹ oʊ,4.88,7
29231,11506,BAB4,196514,-1.167,s3,bulk,cult|fault|fault|taken|admit|halt|fault|halt|fault|colt|occult|tint|fault|committed|fault,fault|halt|occult|tint|colt|taken|admit|committed|cult,15,6 2 1 1 1 1 1 1 1,fault,6,! B AH L K,! b ʌ l k,3.81,! F AO L T,! f ɔ l t,4.75,30
29265,7634,BAB4,633311,-1.85,s3,pal,night|house|night|task|night|pass|house|town|night|towel|dark|stop|night|night|notice,night|house|town|notice|task|towel|stop|dark|pass,15,6 2 1 1 1 1 1 1 1,night,6,! P AE L,! p æ l,4.05,! N AY T,! n aɪ t,5.65,30
29316,11496,SSN,763854,-6.829,s1,decide,sign|ll|sign|beside|sign|side|sign|sign|beside|decide|sign|size|side|siren|aside,sign|beside|side|siren|ll|aside|decide|size,15,6 2 2 1 1 1 1 1,sign,6,D IH ! S AY D,d ɪ ! s aɪ d,4.93,! S AY N,! s aɪ n,4.98,24
29318,13120,SSN,634004,-5.107,s1,regard,guide|guide|guard|guide|guy|guy|guard|beguile|guide|guard|guide|car|beguiled|guy|guide,guide|guard|guy|car|beguile|beguiled,15,6 3 3 1 1 1,guide,6,R IH ! G AA D,ɹ ɪ ! ɡ ɑ d,4.19,! G AY D,! ɡ aɪ d,4.66,24
29320,8640,BMN3,126035,-5.881,s2,cheek,cheap|cheap|cheat|cheap|cheap|cheat|cheap|cheap|cheek|chief|cheap|cheap|cheese|cheek|cheap,cheap|cheat|cheek|cheese|chief,15,9 2 2 1 1,cheap,9,! CH IY K,! tʃ i k,3.93,! CH IY P,! tʃ i p,4.65,10
29339,10240,BMN3,808035,-6.312,s2,hearth,path|path|depart|palm|hearth|path|path|half|path|half|heart|path|half|path,path|half|heart|hearth|depart|palm,14,7 3 1 1 1 1,path,7,! HH AA TH,! h ɑ θ,3.09,! P AA TH,! p ɑ θ,4.48,10
29370,8640,SSN,126148,-6.101,s2,eagle,beacon|evil|eagle|bugle|evil|evil|measles|evil|evil|evil|people|eagle|real|evil|evil,evil|eagle|real|bugle|people|measles|beacon,15,8 2 1 1 1 1 1,evil,8,! IY . G L,! i . ɡ l,4.11,! IY . V L,! i . v l,4.45,10
29384,12160,BMN3,262511,-3.248,s4,herald,peril|carol|peril|peril|peril|carol|peril|carol|peril|peril|carol|peril|peril|terror|peril|peril,peril|carol|terror,16,11 4 1,peril,11,! HH EH . R AX L D,! h e . ɹ ə l d,3.47,! P EH . R AX L,! p e . ɹ ə l,3.39,17
29386,10560,BMN3,71751,-7.48,s4,reel,reel|real|real|real|real|real|real|real|real|real|real|real|real|real|real,real|reel,15,14 1,real,14,! R IY L,! ɹ i l,3.56,! R IA L,! ɹ ɪə l,5.53,10
